team,n_wins,prob_title
Spain,661,6.61
Argentina,618,6.18
France,594,5.94
England,495,4.95
Germany,415,4.15
Brazil,414,4.14
Netherlands,404,4.04
Belgium,394,3.94
Morocco,393,3.93
Portugal,386,3.86
Mexico,363,3.63
Switzerland,317,3.17
Croatia,310,3.1
USA,303,3.03
Colombia,286,2.86
Japan,252,2.52
Senegal,252,2.52
Uruguay,249,2.49
IR Iran,223,2.23
South Korea,219,2.19
Australia,188,1.88
Canada,184,1.84
Ecuador,184,1.84
Austria,164,1.64
Egypt,154,1.54
Algeria,153,1.53
Côte d'Ivoire,150,1.5
Norway,141,1.41
Panama,124,1.24
Paraguay,122,1.22
Tunisia,121,1.21
Qatar,116,1.16
Scotland,114,1.14
South Africa,98,0.98
Uzbekistan,83,0.83
Saudi Arabia,77,0.77
Cabo Verde,64,0.64
Jordan,62,0.62
Curaçao,44,0.44
Haiti,40,0.4
Ghana,36,0.36
New Zealand,33,0.33
